"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"","","","Applications, Issues and Reflection on Altmetrics: Review of S&T Evaluation Policies and Practices in Developed Countries; [替代计量指标的应用、 问题和反思-基于发达国家科技评价政策和实践的调查]","2022","Information studies: Theory and Application","45","6","","74","83and97","8323","0","10.16353/j.cnki.1000-7490.2022.06.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204642783&doi=10.16353%2fj.cnki.1000-7490.2022.06.011&partnerID=40&md5=810123b0b334565cab6ca89104b127dc","Article","Final","","Scopus","2-s2.0-85204642783"
"Vadhera A.S.; Lee J.S.; Veloso I.L.; Khan Z.A.; Trasolini N.A.; Gursoy S.; Kunze K.N.; Chahla J.; Verma N.N.","Vadhera, Amar S. (57215818478); Lee, Jonathan S. (57555862600); Veloso, Isabel L. (57556618400); Khan, Zeeshan A. (57566413900); Trasolini, Nicholas A. (36661534200); Gursoy, Safa (56924879300); Kunze, Kyle N. (57202689199); Chahla, Jorge (56653427200); Verma, Nikhil N. (7102497054)","57215818478; 57555862600; 57556618400; 57566413900; 36661534200; 56924879300; 57202689199; 56653427200; 7102497054","Open Access Articles Garner Increased Social Media Attention and Citation Rates Compared With Subscription Access Research Articles: An Altmetrics-Based Analysis","2022","American Journal of Sports Medicine","50","13","","3690","3697","7","17","10.1177/03635465221124885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140636149&doi=10.1177%2f03635465221124885&partnerID=40&md5=89460bf8115682a4000d235fc9eb288e","Article","Final","","Scopus","2-s2.0-85140636149"
"Ravipati A.; Pradeep T.; Nouri K.","Ravipati, Advaitaa (56348898900); Pradeep, Tejus (57208895913); Nouri, Keyvan (7003546146)","56348898900; 57208895913; 7003546146","The top 100 most cited Mohs micrographic surgery articles: an analysis of Altmetrics data from 2010 to 2020","2023","Archives of Dermatological Research","315","9","","2571","2573","2","2","10.1007/s00403-023-02666-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163876198&doi=10.1007%2fs00403-023-02666-7&partnerID=40&md5=88ce91fd598a46dda9efead7e07fda25","Article","Final","","Scopus","2-s2.0-85163876198"
"","","","A Study on the Social Impact of Disruptive Technologies Using Altmetrics Indicators; [Altmetrics 视角下颠覆性技术的社会影响力探测研究]","2022","Information studies: Theory and Application","45","1","","93","104","11","1","10.16353/j.cnki.1000-7490.2022.01.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204360118&doi=10.16353%2fj.cnki.1000-7490.2022.01.013&partnerID=40&md5=461610ded6791556f92ce6d7958c8b7e","Article","Final","","Scopus","2-s2.0-85204360118"
"Livas C.; Delli K.","Livas, Christos (57211016418); Delli, Konstantina (37003608300)","57211016418; 37003608300","Which orthodontic articles are accessed online the most? Exploring article usage metrics along with citations and altmetrics","2025","The Angle orthodontist","95","1","","96","103","7","0","10.2319/060124-426.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213491780&doi=10.2319%2f060124-426.1&partnerID=40&md5=949084ecb07e7dcac78fe5b65ed76ad6","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85213491780"
"Koo B.-J.; Chang D.-H.","Koo, Bon-Jin (59486577400); Chang, Durk-Hyun (59486577500)","59486577400; 59486577500","Do “Altmetrics” Precede the Bibliometrics?","2025","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ","15494 LNCS","","","93","96","3","0","10.1007/978-981-96-0868-3_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213013144&doi=10.1007%2f978-981-96-0868-3_7&partnerID=40&md5=8278b1275fed884d339b58828ed708cd","Conference paper","Final","","Scopus","2-s2.0-85213013144"
"Sedighi M.","Sedighi, Mehri (36452361100)","36452361100","Altmetrics analysis of selected articles in the field of social sciences","2023","Global Knowledge, Memory and Communication","72","4-5","","452","463","11","7","10.1108/GKMC-07-2021-0124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123489040&doi=10.1108%2fGKMC-07-2021-0124&partnerID=40&md5=9a20488d95abe44df9b970524d839fb8","Article","Final","","Scopus","2-s2.0-85123489040"
"Valderrama-Baca P.; Arroyo-Machado W.; Torres-Salinas D.","Valderrama-Baca, Pilar (57201092136); Arroyo-Machado, Wenceslao (57205072691); Torres-Salinas, Daniel (55665562600)","57201092136; 57205072691; 55665562600","Altmetrics can capture research evidence: an analysis across types of studies in COVID-19 literature","2023","Profesional de la Informacion","32","2","e320213","","","","2","10.3145/EPI.2023.MAR.13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152017359&doi=10.3145%2fEPI.2023.MAR.13&partnerID=40&md5=0e31ebc9e4d90db1f96e1cbe64330dd8","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85152017359"
"Chen M.; Wang L.","Chen, Ming (57191374114); Wang, Linzi (57916898000)","57191374114; 57916898000","An Altmetrics and citation analysis of selected predatory journals in library and information science field","2022","Journal of Academic Librarianship","48","6","102618","","","","4","10.1016/j.acalib.2022.102618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139313133&doi=10.1016%2fj.acalib.2022.102618&partnerID=40&md5=f87d75fbd5d32194cc1667604f5ee99b","Article","Final","","Scopus","2-s2.0-85139313133"
"Esmaeili Givi M.; Saberi M.K.; Talafidaryani M.; Abdolhamid M.; Nikandish R.; Fattahi A.","Esmaeili Givi, Mohammadreza (57189660585); Saberi, Mohammad Karim (36350096800); Talafidaryani, Mojtaba (57208467577); Abdolhamid, Mahdi (57214892083); Nikandish, Rahim (57223854904); Fattahi, Abbas (57217167900)","57189660585; 36350096800; 57208467577; 57214892083; 57223854904; 57217167900","Assessment of the history and trends of “The Journal of Intellectual Capital”: a bibliometrics, altmetrics and text mining analysis","2022","Journal of Intellectual Capital","23","4","","864","912","48","5","10.1108/JIC-02-2020-0057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106283839&doi=10.1108%2fJIC-02-2020-0057&partnerID=40&md5=994181467b2e78c67a540ff4e8a63262","Article","Final","","Scopus","2-s2.0-85106283839"
"","","","Study of the Source and Identification of Chinese Altmetrics Data; [中国替代计量数据的来源与识别研究]","2022","Information studies: Theory and Application","45","12","","111","118","7","1","10.16353/j.cnki.1000-7490.2022.12.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204684559&doi=10.16353%2fj.cnki.1000-7490.2022.12.015&partnerID=40&md5=a9c41100d21eef00dfb4929c115bceec","Article","Final","","Scopus","2-s2.0-85204684559"
"Naved N.; Umer R.","Naved, N. (57468335700); Umer, R. (57842010400)","57468335700; 57842010400","Author-level Altmetrics?","2022","British Dental Journal","233","3","","169","","","3","10.1038/s41415-022-4558-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135818810&doi=10.1038%2fs41415-022-4558-2&partnerID=40&md5=a220f2690aad168eb028fee157f2f322","Letter","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85135818810"
"Vadhera A.S.; Lee J.S.; Veloso I.L.; Singh H.; Trasolini N.A.; Kunze K.N.; Gursoy S.; Geeslin A.G.; Verma N.N.; Chahla J.","Vadhera, Amar S. (57215818478); Lee, Jonathan S. (57555862600); Veloso, Isabel L. (57556618400); Singh, Harsh (57223135290); Trasolini, Nicholas A. (36661534200); Kunze, Kyle N. (57202689199); Gursoy, Safa (56924879300); Geeslin, Andrew G. (36460937800); Verma, Nikhil N. (7102497054); Chahla, Jorge (56653427200)","57215818478; 57555862600; 57556618400; 57223135290; 36661534200; 57202689199; 56924879300; 36460937800; 7102497054; 56653427200","Technique Articles Are More Effective at Increasing Social Media Attention in Comparison With Original Research Articles: An Altmetrics-Based Analysis","2022","Arthroscopy, Sports Medicine, and Rehabilitation","4","3","","e989","e995","6","6","10.1016/j.asmr.2022.02.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127352839&doi=10.1016%2fj.asmr.2022.02.002&partnerID=40&md5=26b7289af3dceb6d08e63a78ae8c851a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127352839"
"Hassan S.-U.; Aljohani N.R.; Tarar U.I.; Safder I.; Sarwar R.; Alelyani S.; Nawaz R.","Hassan, Saeed-Ul (57314020200); Aljohani, Naif Radi (54790711600); Tarar, Usman Iqbal (57219790379); Safder, Iqra (57197722469); Sarwar, Raheem (57193518522); Alelyani, Salem (54398240900); Nawaz, Raheel (52164201600)","57314020200; 54790711600; 57219790379; 57197722469; 57193518522; 54398240900; 52164201600","Exploiting tweet sentiments in altmetrics large-scale data","2023","Journal of Information Science","49","5","","1229","1245","16","4","10.1177/01655515211043713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142260875&doi=10.1177%2f01655515211043713&partnerID=40&md5=0d87385454a56abc32117fd6a6fec275","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85142260875"
"Pratt S.; Zivrali E.","Pratt, Stephen (55627411500); Zivrali, Ece (59490431500)","55627411500; 59490431500","Journal editors’ views on altmetrics in tourism and hospitality research","2024","Anatolia","","","","","","","0","10.1080/13032917.2024.2446202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213368036&doi=10.1080%2f13032917.2024.2446202&partnerID=40&md5=36a1a38c56097fd096b63da7a65c6a81","Article","Article in press","","Scopus","2-s2.0-85213368036"
"Zagorova O.; Ulloa R.; Weller K.; Flöck F.","Zagorova, Olga (57195286546); Ulloa, Roberto (57223296042); Weller, Katrin (23986745200); Flöck, Fabian (55317375700)","57195286546; 57223296042; 23986745200; 55317375700","“I updated the <ref>”: The evolution of references in the English Wikipedia and the implications for altmetrics","2022","Quantitative Science Studies","3","1","","147","173","26","6","10.1162/qss_a_00171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128401745&doi=10.1162%2fqss_a_00171&partnerID=40&md5=ecd06dc4bbd6a8f8cded6766e04cec54","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85128401745"
"Corey J.; Sanders W.","Corey, Jessica (58236292600); Sanders, Whitney (58235607800)","58236292600; 58235607800","The Altmetrics Hot 100: What Are the Most Influential Articles in Criminology and Criminal Justice?","2023","Journal of Contemporary Criminal Justice","39","3","","405","428","23","0","10.1177/10439862231170949","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159074625&doi=10.1177%2f10439862231170949&partnerID=40&md5=a07c14227391eb6d28005ec749e539c5","Article","Final","","Scopus","2-s2.0-85159074625"
"Moshtagh M.; Jowkar T.; Yaghtin M.; Sotudeh H.","Moshtagh, Maryam (57225181928); Jowkar, Tahereh (23566635200); Yaghtin, Maryam (55813776700); Sotudeh, Hajar (21735498000)","57225181928; 23566635200; 55813776700; 21735498000","The moderating effect of altmetrics on the correlations between single and multi-faceted university ranking systems: the case of THE and QS vs. Nature Index and Leiden","2023","Scientometrics","128","1","","761","781","20","4","10.1007/s11192-022-04548-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139988776&doi=10.1007%2fs11192-022-04548-7&partnerID=40&md5=007beff5006b7692cd5e72fc91affc13","Article","Final","","Scopus","2-s2.0-85139988776"
"Nishikawa-Pacher A.","Nishikawa-Pacher, Andreas (57203114597)","57203114597","Measuring serendipity with altmetrics and randomness","2023","Journal of Librarianship and Information Science","55","4","","1078","1087","9","2","10.1177/09610006221124338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139057936&doi=10.1177%2f09610006221124338&partnerID=40&md5=362f67fc8a30b79ab12f4c5d65439735","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85139057936"
"Stephen D.; Stahlschmidt S.","Stephen, Dimity (57162846300); Stahlschmidt, Stephan (55638078300)","57162846300; 55638078300","Contrasting cross-correlation: Meta-analyses of the associations between citations and 13 altmetrics, incorporating moderating variables","2024","Scientometrics","129","10","","6049","6063","14","1","10.1007/s11192-024-05006-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191776012&doi=10.1007%2fs11192-024-05006-2&partnerID=40&md5=dc64793ae5f018ace9965836dae3a79b","Article","Final","","Scopus","2-s2.0-85191776012"
"Yan C.; Pan Y.; Li S.; Zhang F.","Yan, Chengxi (57222476470); Pan, Yuchen (57195484142); Li, Shaojian (58558308200); Zhang, Fuqian (58630831700)","57222476470; 57195484142; 58558308200; 58630831700","An investigation of country-scale collaboration patterns of digital humanities through dual perspectives of bibliometrics and altmetrics","2024","Aslib Journal of Information Management","","","","","","","0","10.1108/AJIM-12-2023-0568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200343570&doi=10.1108%2fAJIM-12-2023-0568&partnerID=40&md5=2e809638f9dfb91660d4ec4c2bd32094","Article","Article in press","","Scopus","2-s2.0-85200343570"
"Ayoub A.; Amin R.; Wani Z.A.","Ayoub, Arshia (57204626014); Amin, Raashida (57208899647); Wani, Zahid Ashraf (24402207400)","57204626014; 57208899647; 24402207400","Exploring the Impact of Altmetrics in Relation to Citation Count and SCImago Journal Rank (SJR)","2023","Journal of Scientometric Research","12","3","","603","608","5","0","10.5530/JSCIRES.12.3.058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180089217&doi=10.5530%2fJSCIRES.12.3.058&partnerID=40&md5=e0c99f7522c3c2aa96f64cb177dbac58","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85180089217"
"Zong Q.; Huang Z.; Deng Z.; Deng W.; Xie Y.; Yu Y.","Zong, Qianjin (55260508500); Huang, Zhihong (57722992300); Deng, Zhijun (58106462100); Deng, Weiwei (57200581045); Xie, Yafen (57208058375); Yu, Yisheng (57194511127)","55260508500; 57722992300; 58106462100; 57200581045; 57208058375; 57194511127","Identifying Combinations of Altmetrics and Web of Science Usage That Linked to Early Citations of an Article Received: A Crisp-Set Qualitative Comparative Analysis (csQCA)","2023","Serials Review","49","3-4","","92","101","9","3","10.1080/00987913.2023.2234242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165479698&doi=10.1080%2f00987913.2023.2234242&partnerID=40&md5=357c558f9c15c2334e1e83c348da3e04","Article","Final","","Scopus","2-s2.0-85165479698"
"Hou J.; Li H.; Zhang Y.","Hou, Jianhua (56648784400); Li, Hao (57220083252); Zhang, Yang (57204763375)","56648784400; 57220083252; 57204763375","Altmetrics-based sleeping beauties: necessity or just a supplement?","2023","Scientometrics","128","10","","5477","5506","29","2","10.1007/s11192-023-04798-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166908630&doi=10.1007%2fs11192-023-04798-z&partnerID=40&md5=262aa71ac692061a22de79f2442b6a18","Article","Final","","Scopus","2-s2.0-85166908630"
"Wang X.; Feng X.","Wang, Xu (57209608900); Feng, Xin (57190849338)","57209608900; 57190849338","Research on the relationships between discourse leading indicators and citations: perspectives from altmetrics indicators of international multidisciplinary academic journals","2024","Library Hi Tech","42","4","","1165","1190","25","10","10.1108/LHT-09-2021-0296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145334319&doi=10.1108%2fLHT-09-2021-0296&partnerID=40&md5=4cbf1b34215192e1e9fd0d2cb68af728","Article","Final","","Scopus","2-s2.0-85145334319"
"Zhang J.; Hou J.","Zhang, Jundong (58311960600); Hou, Jianhua (56648784400)","58311960600; 56648784400","Knowledge diffusion for individual literature from the perspective of Altmetrics: Models, measurement and features","2023","Journal of Information Science","","","","","","","1","10.1177/01655515231174387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161662586&doi=10.1177%2f01655515231174387&partnerID=40&md5=4d79c7d4f270b99a46be3509cd727e84","Article","Article in press","","Scopus","2-s2.0-85161662586"
"Ranjha K.U.; Farooq M.; Hoz S.S.","Ranjha, Kaleem Ullah (58946860900); Farooq, Minaam (57219869143); Hoz, Samer S. (57195506264)","58946860900; 57219869143; 57195506264","Commentary: Altmetrics Versus Bibliometrics in Neurosurgery - Finding a Balance","2024","Neurosurgery","94","4","","e53","e54","1","1","10.1227/neu.0000000000002869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188200831&doi=10.1227%2fneu.0000000000002869&partnerID=40&md5=ab05b9c5b23adc5a7492c5559c0d6360","Note","Final","","Scopus","2-s2.0-85188200831"
"Evereklioglu C.; Sener H.; Mutlu S.N.; Gunay Sener A.B.; Horozoglu F.","Evereklioglu, Cem (7006640699); Sener, Hidayet (57223249168); Mutlu, Said Nafiz (58124717900); Gunay Sener, Ayse Busra (57802581400); Horozoglu, Fatih (9733109900)","7006640699; 57223249168; 58124717900; 57802581400; 9733109900","Top 50 most-cited articles on SMILE surgery between 2010 and 2022: a correlation comparison between conventional bibliometrics and current altmetrics of research impact","2023","International Ophthalmology","43","7","","2521","2532","11","4","10.1007/s10792-023-02652-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149205670&doi=10.1007%2fs10792-023-02652-y&partnerID=40&md5=3aa5de1989fc920e5700bd871bf399e8","Article","Final","","Scopus","2-s2.0-85149205670"
